file,rows,det,empty,conf_mean,conf_p50,conf_p90,conf_max,path,detections,empty_rows,mean_conf,median_conf,q90_conf,max_conf
submissions/sub127_nomannic_sub121_add_img1494_conf050.csv,2000,978,1224,0.3738693302658487,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub128_nomannic_sub121_add_img1494_conf0226918.csv,2000,978,1224,0.37359010531697345,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub129_nomannic_sub121_add_img536_conf050.csv,2000,978,1224,0.3738693302658487,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub130_nomannic_sub121_add_img810_conf0226321.csv,2000,978,1224,0.3735894948875255,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub131_nomannic_sub121_img1409_conf043179.csv,2000,977,1225,0.37374063971340843,0.33948,0.5665444,0.85036,,,,,,,
submissions/sub132_nomannic_sub131_add_img1420_conf0225356.csv,2000,978,1225,0.3735889171779141,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub133_nomannic_sub132_img1420_conf050.csv,2000,978,1225,0.3738697392638037,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub134_nomannic_sub133_img1420_conf0381300.csv,2000,978,1225,0.3737483691206544,0.3395585,0.5660063000000004,0.85036,,,,,,,
submissions/sub135_nomannic_sub132_img1420_geom_modal.csv,2000,978,1225,0.3735889171779141,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub136_nomannic_sub132_img1420_geom_median.csv,2000,978,1225,0.3735889171779141,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub137_nomannic_sub132_img1420_conf0248600.csv,2000,978,1225,0.37361268404907977,0.3393805,0.5660063000000004,0.85036,,,,,,,
submissions/sub138_nomannic_sub137_add_img1586_conf0226266.csv,2000,979,1224,0.3734621767109295,0.339281,0.5654682000000002,0.85036,,,,,,,
submissions/sub139_nomannic_sub137_add_img1791_conf0226226.csv,2000,979,1224,0.37346213585291116,0.339281,0.5654682000000002,0.85036,,,,,,,
